lga,ward,polling_unit_code,polling_unit_name,polling_unit_location,latitude,longitude
Bauchi,Ward 01,BA-01-WD01-PU001,PU 001,Near Central Mosque,10.3158,9.8442
Bauchi,Ward 01,BA-01-WD01-PU002,PU 002,Market Square,10.3165,9.8450
Bauchi,Ward 01,BA-01-WD01-PU003,PU 003,Primary School,10.3172,9.8458
Bauchi,Ward 02,BA-01-WD02-PU001,PU 001,Community Center,10.3180,9.8465
Bauchi,Ward 02,BA-01-WD02-PU002,PU 002,Health Clinic,10.3188,9.8472
Tafawa Balewa,Ward 01,BA-02-WD01-PU001,PU 001,Town Hall,10.3500,9.7500
Tafawa Balewa,Ward 01,BA-02-WD01-PU002,PU 002,Village Square,10.3510,9.7510
Tafawa Balewa,Ward 02,BA-02-WD02-PU001,PU 001,School Compound,10.3520,9.7520
Dass,Ward 01,BA-03-WD01-PU001,PU 001,Palace Ground,10.4000,9.6000
Dass,Ward 01,BA-03-WD01-PU002,PU 002,Market Area,10.4010,9.6010
